Rose CPS
WI
31-Oct-16 (16-471)
Analysis of production performance between 16-441 and 16-468


"Farm","0500 - Main Farm","0501 - Crouch I","0502 - Crouch II","0503 - Scenic Farm","0504 - Cedar Farm","0505 - Loreto Farm","0508 - Marengo Farm","Total"

Service Information

"TotalMatings",524,254,236,261,249,227,728,2479
"TotalServices",264,118,117,123,113,119,376,1230
"ExpectedToFarrow",256,117,116,121,109,119,376,1214
"TotalFailToFarrowServices",0,0,0,0,0,0,1,1
"TotalFirstServices",258,105,113,103,102,110,318,1109
"TotalRepeatServices",6,13,4,20,11,9,58,121
"SumRepeatInterval",158,447,85,923,289,452,3480,5834
"TotalRepeatEarly",0,0,0,1,2,0,0,3
"TotalRepeatRegularFirst",4,6,4,3,6,1,6,30
"TotalRepeatIrregular",1,4,0,4,2,3,4,18
"TotalRepeatRegularSecond",1,1,0,3,0,1,14,20
"TotalRepeatLate",0,2,0,9,1,4,34,50
"TotalGiltFirstServices",90,27,34,27,23,34,68,303
"TotalGiltArrivalFirstServices",90,27,34,27,23,34,68,303
"TotalGiltAvailableFirstServices",0,0,0,0,0,0,0,0
"TotalWeanedSowFirstServices",168,78,79,76,79,76,249,805
"TotalWeanedSowsFirstServedBy7Days",142,69,71,59,73,62,235,711
"SumWeanTo1stServiceInterval",1177,437,490,571,456,582,1334,5047
"AvWeanTo1stServiceInterval",7.01,5.60,6.20,7.51,5.77,7.66,5.36,6.27
"SumArrivalTo1stServiceInterval",3879,566,1244,508,234,685,1239,8355
"SumAvailableTo1stServiceInterval",0,0,0,0,0,0,0,0
"SumServiceNumber",270,132,121,143,125,128,435,1354
"TotalAIOnlyServices",264,118,117,123,113,119,376,1230
"TotalNaturalOnlyServices",0,0,0,0,0,0,0,0
"TotalMixedServices",0,0,0,0,0,0,0,0
"TotalSoloBoarSemenServices",258,5,82,82,73,118,155,773
"TotalMultipleMatingServices",252,114,101,114,105,107,349,1142
"PercentMultipleMatingServices",95.45,96.61,86.32,92.68,92.92,89.92,92.82,92.85
"PercentWeanedSowsFirstServedBy7Days",84.52,88.46,89.87,77.63,92.41,81.58,94.38,88.32
"AvServiceNumber",1.02,1.12,1.03,1.16,1.11,1.08,1.16,1.10
"PercentRepeatServices",2.27,11.02,3.42,16.26,9.73,7.56,15.43,9.84
"AvMatingsPerService",1.98,2.15,2.02,2.12,2.20,1.91,1.94,2.02
"ConceptionRate",96.97,99.15,99.15,98.37,96.46,100.00,100.00,98.70

Farrowing Information

"TotalFarrowings",210,94,105,88,98,90,258,943
"LivebornLessThan7",29,7,8,6,9,7,23,89
"FirstLitterFarrowings",88,28,29,28,20,21,8,222
"AssistedFarrowings",0,0,0,0,0,0,0,0
"FirstLitterAssistedFarrowings",0,0,0,0,0,0,0,0
"InducedFarrowings",0,0,0,0,0,0,0,0
"FirstLitterInducedFarrowings",0,0,0,0,0,0,0,0
"Totalborn",2353,1269,1369,1212,1293,1196,3330,12022
"TotalBornPerLitter",11.20,13.50,13.04,13.77,13.19,13.29,12.91,12.75
"FirstLitterTotalborn",962,331,368,371,239,251,88,2610
"Liveborn",2196,1092,1193,1048,1158,1039,3040,10766
"LivebornBoars",0,0,0,0,0,0,0,0
"LivebornGilts",0,0,0,0,0,0,0,0
"LivebornPerLitter",10.46,11.62,11.36,11.91,11.82,11.54,11.78,11.42
"LivebornPerSowPerYear",22.28,26.30,28.90,27.45,27.98,25.63,24.18,25.20
"LivebornPerFemalePerYear",19.99,25.29,26.89,26.62,27.48,23.88,22.66,23.58
"FirstLitterLiveborn",893,289,332,312,219,221,80,2346
"Stillborn",119,142,160,108,122,109,201,961
"StillbornPerLitter",0.57,1.51,1.52,1.23,1.24,1.21,0.78,1.02
"StillbornAsPercentOfTotalBorn",5.06,11.19,11.69,8.91,9.44,9.11,6.04,7.99
"FirstLitterStillborn",47,30,33,32,19,19,4,184
"Mummified",38,35,16,56,13,48,89,295
"MummifiedPerLitter",0.18,0.37,0.15,0.64,0.13,0.53,0.34,0.31
"MummifiedAsPercentOfTotalBorn",1.61,2.76,1.17,4.62,1.01,4.01,2.67,2.45
"FirstLitterMummified",22,12,3,27,1,11,4,80
"SumLitterWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountLitterWeight",0,0,0,0,0,0,0,0
"SumFarrowingInterval",17576,10108,10929,8563,11134,9910,43592,111812
"CntFarrowingInterval",122,66,76,60,78,69,250,721
"FarrowingInterval",144.07,153.15,143.80,142.72,142.74,143.62,174.37,155.08
"SumGestationLength",24949,10822,12185,10157,11342,10300,30128,109883
"SumCycleFarrowed",498,278,337,263,322,250,1076,3024
"SumParityFarrowed",498,278,337,263,322,250,1071,3019

Farrowing Rate Information

"CountFRServices125",265,113,114,110,105,113,378,1198
"CountFRAdjServices125",265,111,111,109,101,107,364,1168
"CountFRFarrowed125",210,94,102,89,88,88,280,951
"FarrowingRate125",79.25,83.19,89.47,80.91,83.81,77.88,74.07,79.38
"AdjustedFarrowingRate125",79.25,84.68,91.89,81.65,87.13,82.24,76.92,81.42

Piglet Loss Information

"PigletLosses[0]",143,54,57,41,62,49,117,523
"PigletLossAsPercentLiveborn[0]",6.51,4.95,4.78,3.91,5.35,4.72,3.85,4.86
"PigletLossAsPercentTotal[0]",59.83,45.38,37.01,36.28,52.99,51.58,40.63,46.49
"PigletLosses[1]",58,44,74,54,37,39,91,397
"PigletLossAsPercentLiveborn[1]",2.64,4.03,6.20,5.15,3.20,3.75,2.99,3.69
"PigletLossAsPercentTotal[1]",24.27,36.97,48.05,47.79,31.62,41.05,31.60,35.29
"PigletLosses[2]",38,21,23,18,18,7,80,205
"PigletLossAsPercentLiveborn[2]",1.73,1.92,1.93,1.72,1.55,0.67,2.63,1.90
"PigletLossAsPercentTotal[2]",15.90,17.65,14.94,15.93,15.38,7.37,27.78,18.22
"PigletLosses[3]",239,119,154,113,117,95,288,1125
"PigletLossAsPercentLiveborn[3]",10.88,10.90,12.91,10.78,10.10,9.14,9.47,10.45
"SumPigletAgeAtLoss",839,506,599,446,410,258,1694,4752
"PigletAgeAtLoss",3.51,4.25,3.89,3.95,3.50,2.72,5.88,4.22

Weaning Information

"CompleteWeanings",217,94,102,95,92,80,285,965
"SowsWeaned",219,100,105,95,92,80,285,976
"SowsWeanedWithZero",7,1,11,1,4,0,3,27
"NurseSowsCreated",2,6,3,0,0,0,0,11
"NurseSowsWeaned",3,4,1,0,0,0,0,8
"LittersWeaned",212,99,94,94,88,80,282,949
"PigletAgeAtWeaning",19.98,21.70,19.05,19.30,20.48,23.31,20.89,20.60
"TotalPigletsWeaned",2040,954,1025,1019,976,858,3054,9926
