Rose CPS
Rose
01-Nov-16 (16-472)
Analysis of production performance between 16-441 and 16-468


"Farm","0801 - RR Sow 1","0903 - TE 3","0904 - Huffman Farm","0906 - TE 1 W","0907 - TE 1 E","0908 - TE 2 W","0909 - TE 2 E","Total"

Service Information

"TotalMatings",1048,2157,1165,2018,2097,2017,2113,12615
"TotalServices",524,1085,578,1040,1067,1021,1065,6380
"ExpectedToFarrow",513,1073,564,1009,1058,1019,1049,6285
"TotalFailToFarrowServices",7,1,1,0,0,0,0,9
"TotalFirstServices",430,989,510,962,996,1002,954,5843
"TotalRepeatServices",94,96,68,78,71,19,111,537
"SumRepeatInterval",3607,2975,2007,2050,1815,633,3476,16563
"TotalRepeatEarly",1,2,5,8,2,0,6,24
"TotalRepeatRegularFirst",39,47,38,48,46,9,57,284
"TotalRepeatIrregular",20,25,11,10,20,4,24,114
"TotalRepeatRegularSecond",11,10,6,5,2,2,9,45
"TotalRepeatLate",23,12,8,7,1,4,15,70
"TotalGiltFirstServices",0,164,110,223,192,160,182,1031
"TotalGiltArrivalFirstServices",0,164,110,223,192,160,182,1031
"TotalGiltAvailableFirstServices",0,0,0,0,0,0,0,0
"TotalWeanedSowFirstServices",423,824,399,739,804,842,772,4803
"TotalWeanedSowsFirstServedBy7Days",393,805,376,697,754,803,724,4552
"SumWeanTo1stServiceInterval",2346,3631,2136,4296,4153,4183,4340,25085
"AvWeanTo1stServiceInterval",5.55,4.41,5.35,5.81,5.17,4.97,5.62,5.22
"SumArrivalTo1stServiceInterval",0,5934,4557,1647,1712,1360,1434,16644
"SumAvailableTo1stServiceInterval",0,0,0,0,0,0,0,0
"SumServiceNumber",633,1194,647,1118,1144,1041,1196,6973
"TotalAIOnlyServices",524,1085,578,1040,1067,1021,1065,6380
"TotalNaturalOnlyServices",0,0,0,0,0,0,0,0
"TotalMixedServices",0,0,0,0,0,0,0,0
"TotalSoloBoarSemenServices",440,512,349,505,594,976,495,3871
"TotalMultipleMatingServices",524,1077,576,979,1020,989,1041,6206
"PercentMultipleMatingServices",100.00,99.26,99.65,94.13,95.60,96.87,97.75,97.27
"PercentWeanedSowsFirstServedBy7Days",92.91,97.69,94.24,94.32,93.78,95.37,93.78,94.77
"AvServiceNumber",1.21,1.10,1.12,1.08,1.07,1.02,1.12,1.09
"PercentRepeatServices",17.94,8.85,11.76,7.50,6.65,1.86,10.42,8.42
"AvMatingsPerService",2.00,1.99,2.02,1.94,1.97,1.98,1.98,1.98
"ConceptionRate",97.90,98.89,97.58,97.02,99.16,99.80,98.50,98.51

Farrowing Information

"TotalFarrowings",469,906,467,877,804,889,870,5282
"LivebornLessThan7",31,61,28,64,48,63,44,339
"FirstLitterFarrowings",2,20,110,11,7,6,13,169
"AssistedFarrowings",0,0,0,0,0,0,0,0
"FirstLitterAssistedFarrowings",0,0,0,0,0,0,0,0
"InducedFarrowings",0,0,0,0,0,0,0,0
"FirstLitterInducedFarrowings",0,0,0,0,0,0,0,0
"Totalborn",5967,12647,6301,11687,11071,11654,12086,71413
"TotalBornPerLitter",12.72,13.96,13.49,13.33,13.77,13.11,13.89,13.52
"FirstLitterTotalborn",24,267,1510,135,88,78,168,2270
"Liveborn",5472,11411,5862,10480,9903,10618,11225,64971
"LivebornBoars",0,0,0,0,0,0,0,0
"LivebornGilts",0,0,0,0,0,0,0,0
"LivebornPerLitter",11.67,12.59,12.55,11.95,12.32,11.94,12.90,12.30
"LivebornPerSowPerYear",27.80,29.55,28.66,29.37,27.51,29.13,30.14,28.99
"LivebornPerFemalePerYear",27.61,27.86,25.90,28.90,26.67,28.70,29.68,28.05
"FirstLitterLiveborn",22,253,1419,131,81,76,149,2131
"Stillborn",392,1058,383,1071,1005,859,690,5458
"StillbornPerLitter",0.84,1.17,0.82,1.22,1.25,0.97,0.79,1.03
"StillbornAsPercentOfTotalBorn",6.57,8.37,6.08,9.16,9.08,7.37,5.71,7.64
"FirstLitterStillborn",2,11,68,4,3,2,14,104
"Mummified",103,178,56,136,163,177,171,984
"MummifiedPerLitter",0.22,0.20,0.12,0.16,0.20,0.20,0.20,0.19
"MummifiedAsPercentOfTotalBorn",1.73,1.41,0.89,1.16,1.47,1.52,1.41,1.38
"FirstLitterMummified",0,3,23,0,4,0,5,35
"SumLitterWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountLitterWeight",0,0,0,0,0,0,0,0
"SumFarrowingInterval",68495,130983,51616,127365,116738,128508,128532,752237
"CntFarrowingInterval",467,886,357,866,797,883,857,5113
"FarrowingInterval",146.67,147.84,144.58,147.07,146.47,145.54,149.98,147.12
"SumGestationLength",54330,105822,54110,102071,93792,103684,101434,615243
"SumCycleFarrowed",2244,4149,1362,3655,3866,4034,3634,22944
"SumParityFarrowed",2236,4136,1361,3645,3852,4031,3622,22883

Farrowing Rate Information

"CountFRServices125",569,1040,571,1047,1034,1046,1055,6362
"CountFRAdjServices125",560,1022,562,1021,1027,1031,1048,6271
"CountFRFarrowed125",451,890,465,876,877,917,877,5353
"FarrowingRate125",79.26,85.58,81.44,83.67,84.82,87.67,83.13,84.14
"AdjustedFarrowingRate125",80.54,87.08,82.74,85.80,85.39,88.94,83.68,85.36

Piglet Loss Information

"PigletLosses[0]",159,802,363,874,993,830,983,5004
"PigletLossAsPercentLiveborn[0]",2.91,7.03,6.19,8.34,10.03,7.82,8.76,7.70
"PigletLossAsPercentTotal[0]",31.24,41.09,48.08,52.27,54.11,51.36,54.19,49.29
"PigletLosses[1]",288,904,273,587,602,497,520,3671
"PigletLossAsPercentLiveborn[1]",5.26,7.92,4.66,5.60,6.08,4.68,4.63,5.65
"PigletLossAsPercentTotal[1]",56.58,46.31,36.16,35.11,32.81,30.75,28.67,36.16
"PigletLosses[2]",62,246,119,211,240,289,311,1478
"PigletLossAsPercentLiveborn[2]",1.13,2.16,2.03,2.01,2.42,2.72,2.77,2.27
"PigletLossAsPercentTotal[2]",12.18,12.60,15.76,12.62,13.08,17.88,17.14,14.56
"PigletLosses[3]",509,1952,755,1672,1835,1616,1814,10153
"PigletLossAsPercentLiveborn[3]",9.30,17.11,12.88,15.95,18.53,15.22,16.16,15.63
"SumPigletAgeAtLoss",1922,7212,2784,5540,6434,6561,7055,37508
"PigletAgeAtLoss",3.78,3.69,3.69,3.31,3.51,4.06,3.89,3.69

Weaning Information

"CompleteWeanings",428,938,499,892,869,906,884,5416
"SowsWeaned",431,958,502,918,891,916,884,5500
"SowsWeanedWithZero",25,28,11,24,34,39,32,193
"NurseSowsCreated",3,20,3,26,22,10,0,84
"NurseSowsWeaned",5,23,8,29,26,12,0,103
