Rose CPS
WI
29-Nov-16 (16-500)
Analysis of production performance between 16-469 and 16-496


"Farm","0500 - Main Farm","0501 - Crouch I","0502 - Crouch II","0503 - Scenic Farm","0504 - Cedar Farm","0505 - Loreto Farm","0508 - Marengo Farm","Total"

Service Information

"TotalMatings",523,234,221,224,246,213,557,2218
"TotalServices",264,116,113,111,116,113,293,1126
"ExpectedToFarrow",260,114,112,110,112,112,286,1106
"TotalFailToFarrowServices",0,0,0,0,0,0,1,1
"TotalFirstServices",250,109,108,99,106,105,234,1011
"TotalRepeatServices",14,7,5,12,10,8,59,115
"SumRepeatInterval",759,166,136,477,255,395,3639,5827
"TotalRepeatEarly",0,0,0,0,1,1,1,3
"TotalRepeatRegularFirst",4,4,3,5,6,1,6,29
"TotalRepeatIrregular",2,3,2,3,2,2,5,19
"TotalRepeatRegularSecond",2,0,0,1,0,0,6,9
"TotalRepeatLate",6,0,0,3,1,4,41,55
"TotalGiltFirstServices",92,28,24,29,32,31,94,330
"TotalGiltArrivalFirstServices",92,28,24,29,32,31,94,330
"TotalGiltAvailableFirstServices",0,0,0,0,0,0,0,0
"TotalWeanedSowFirstServices",158,81,84,70,74,74,139,680
"TotalWeanedSowsFirstServedBy7Days",146,71,77,59,70,69,127,619
"SumWeanTo1stServiceInterval",820,488,525,449,420,412,1013,4127
"AvWeanTo1stServiceInterval",5.19,6.02,6.25,6.41,5.68,5.57,7.29,6.07
"SumArrivalTo1stServiceInterval",4025,615,924,527,349,737,2287,9464
"SumAvailableTo1stServiceInterval",0,0,0,0,0,0,0,0
"SumServiceNumber",278,125,118,123,128,121,352,1245
"TotalAIOnlyServices",264,116,113,111,116,113,293,1126
"TotalNaturalOnlyServices",0,0,0,0,0,0,0,0
"TotalMixedServices",0,0,0,0,0,0,0,0
"TotalSoloBoarSemenServices",257,16,76,83,76,113,173,794
"TotalMultipleMatingServices",254,104,95,106,108,103,264,1034
"PercentMultipleMatingServices",96.21,89.66,84.07,95.50,93.10,91.15,90.10,91.83
"PercentWeanedSowsFirstServedBy7Days",92.41,87.65,91.67,84.29,94.59,93.24,91.37,91.03
"AvServiceNumber",1.05,1.08,1.04,1.11,1.10,1.07,1.20,1.11
"PercentRepeatServices",5.30,6.03,4.42,10.81,8.62,7.08,20.14,10.21
"AvMatingsPerService",1.98,2.02,1.96,2.02,2.12,1.88,1.90,1.97
"ConceptionRate",98.48,98.28,99.12,99.10,96.55,99.12,97.61,98.22

Farrowing Information

"TotalFarrowings",240,97,83,87,100,90,262,959
"LivebornLessThan7",16,4,6,5,3,4,23,61
"FirstLitterFarrowings",108,18,26,22,25,19,8,226
"AssistedFarrowings",0,0,0,0,0,0,0,0
"FirstLitterAssistedFarrowings",0,0,0,0,0,0,0,0
"InducedFarrowings",0,0,0,0,0,0,0,0
"FirstLitterInducedFarrowings",0,0,0,0,0,0,0,0
"Totalborn",2859,1345,1137,1194,1391,1232,3507,12665
"TotalBornPerLitter",11.91,13.87,13.70,13.72,13.91,13.69,13.39,13.21
"FirstLitterTotalborn",1279,246,343,259,333,237,109,2806
"Liveborn",2656,1161,1000,1051,1241,1058,3211,11378
"LivebornBoars",0,0,0,0,0,0,0,0
"LivebornGilts",0,0,0,0,0,0,0,0
"LivebornPerLitter",11.07,11.97,12.05,12.08,12.41,11.76,12.26,11.86
"LivebornPerSowPerYear",26.93,27.89,24.53,27.95,29.95,25.64,25.60,26.66
"LivebornPerFemalePerYear",24.14,26.90,22.82,26.80,29.29,23.96,24.00,24.92
"FirstLitterLiveborn",1189,213,296,228,291,212,89,2518
"Stillborn",148,134,112,107,103,117,243,964
"StillbornPerLitter",0.62,1.38,1.35,1.23,1.03,1.30,0.93,1.01
"StillbornAsPercentOfTotalBorn",5.18,9.96,9.85,8.96,7.40,9.50,6.93,7.61
"FirstLitterStillborn",65,18,35,20,16,14,18,186
"Mummified",55,50,25,36,47,57,53,323
"MummifiedPerLitter",0.23,0.52,0.30,0.41,0.47,0.63,0.20,0.34
"MummifiedAsPercentOfTotalBorn",1.92,3.72,2.20,3.02,3.38,4.63,1.51,2.55
"FirstLitterMummified",25,15,12,11,26,11,2,102
"SumLitterWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountLitterWeight",0,0,0,0,0,0,0,0
"SumFarrowingInterval",19165,11684,8305,9406,10732,10430,43998,113720
"CntFarrowingInterval",132,79,57,65,75,71,254,733
"FarrowingInterval",145.19,147.90,145.70,144.71,143.09,146.90,173.22,155.14
"SumGestationLength",28493,11209,9669,10056,11603,10287,30562,111879
"SumCycleFarrowed",529,306,257,251,342,263,1102,3050
"SumParityFarrowed",529,306,257,251,342,263,1091,3039

Farrowing Rate Information

"CountFRServices125",264,131,110,101,110,115,377,1208
"CountFRAdjServices125",261,131,108,100,109,113,364,1186
"CountFRFarrowed125",236,111,87,80,92,84,255,945
"FarrowingRate125",89.39,84.73,79.09,79.21,83.64,73.04,67.64,78.23
"AdjustedFarrowingRate125",90.42,84.73,80.56,80.00,84.40,74.34,70.05,79.68

Piglet Loss Information

"PigletLosses[0]",182,39,42,32,67,41,152,555
"PigletLossAsPercentLiveborn[0]",6.85,3.36,4.20,3.04,5.40,3.88,4.73,4.88
"PigletLossAsPercentTotal[0]",61.07,30.95,34.15,30.48,51.15,47.67,35.27,42.69
"PigletLosses[1]",73,50,60,54,44,37,158,476
"PigletLossAsPercentLiveborn[1]",2.75,4.31,6.00,5.14,3.55,3.50,4.92,4.18
"PigletLossAsPercentTotal[1]",24.50,39.68,48.78,51.43,33.59,43.02,36.66,36.62
"PigletLosses[2]",43,37,21,19,20,8,121,269
"PigletLossAsPercentLiveborn[2]",1.62,3.19,2.10,1.81,1.61,0.76,3.77,2.36
"PigletLossAsPercentTotal[2]",14.43,29.37,17.07,18.10,15.27,9.30,28.07,20.69
"PigletLosses[3]",298,126,123,105,131,86,431,1300
"PigletLossAsPercentLiveborn[3]",11.22,10.85,12.30,9.99,10.56,8.13,13.42,11.43
"SumPigletAgeAtLoss",917,795,525,475,466,264,2878,6320
"PigletAgeAtLoss",3.08,6.31,4.27,4.52,3.56,3.07,6.68,4.86

Weaning Information

"CompleteWeanings",227,93,85,90,91,89,150,825
"SowsWeaned",230,104,86,90,91,90,150,841
"SowsWeanedWithZero",14,4,4,1,1,0,5,29
"NurseSowsCreated",3,11,1,0,0,1,0,16
"NurseSowsWeaned",3,13,3,0,0,0,0,19
"LittersWeaned",216,100,82,89,90,90,145,812
"PigletAgeAtWeaning",19.36,19.36,20.21,18.58,21.22,22.63,31.24,22.08
"TotalPigletsWeaned",2122,986,881,948,980,935,1498,8350
