Rose CPS
North Carolina
30-Nov-16 (16-501)
Analysis of production performance between 16-469 and 16-496


"Farm","0300 - DN","0301 - Polly Ridge","0305 - Shellbank","0306 - Whitakers","0307 - Creekside","0309 - CAJ One","Total"

Service Information

"TotalMatings",1918,1944,1122,1084,1997,2224,10289
"TotalServices",1001,1301,566,560,1001,1144,5573
"ExpectedToFarrow",993,1276,555,554,995,1119,5492
"TotalFailToFarrowServices",0,0,8,0,2,2,12
"TotalFirstServices",956,1216,500,517,911,1024,5124
"TotalRepeatServices",45,85,66,43,90,120,449
"SumRepeatInterval",1346,2433,2992,1311,3136,3062,14280
"TotalRepeatEarly",3,0,3,6,5,4,21
"TotalRepeatRegularFirst",17,54,19,19,24,78,211
"TotalRepeatIrregular",16,11,20,7,29,25,108
"TotalRepeatRegularSecond",5,13,7,4,14,9,52
"TotalRepeatLate",4,7,17,7,18,4,57
"TotalGiltFirstServices",167,279,91,112,169,248,1066
"TotalGiltArrivalFirstServices",167,279,91,112,169,248,1066
"TotalGiltAvailableFirstServices",0,0,0,0,0,0,0
"TotalWeanedSowFirstServices",789,937,401,405,740,774,4046
"TotalWeanedSowsFirstServedBy7Days",709,914,371,366,641,709,3710
"SumWeanTo1stServiceInterval",4285,5076,2517,2411,4401,4664,23354
"AvWeanTo1stServiceInterval",5.43,5.42,6.28,5.95,5.95,6.03,5.77
"SumArrivalTo1stServiceInterval",2592,6858,2606,1283,6368,4339,24046
"SumAvailableTo1stServiceInterval",0,0,0,0,0,0,0
"SumServiceNumber",1046,1388,657,603,1092,1274,6060
"TotalAIOnlyServices",1001,1301,566,560,1001,1144,5573
"TotalNaturalOnlyServices",0,0,0,0,0,0,0
"TotalMixedServices",0,0,0,0,0,0,0
"TotalSoloBoarSemenServices",995,933,336,222,981,536,4003
"TotalMultipleMatingServices",949,641,539,521,991,1088,4729
"PercentMultipleMatingServices",94.81,49.27,95.23,93.04,99.00,95.10,84.86
"PercentWeanedSowsFirstServedBy7Days",89.86,97.55,92.52,90.37,86.62,91.60,91.70
"AvServiceNumber",1.04,1.07,1.16,1.08,1.09,1.11,1.09
"PercentRepeatServices",4.50,6.53,11.66,7.68,8.99,10.49,8.06
"AvMatingsPerService",1.92,1.49,1.98,1.94,2.00,1.94,1.85
"ConceptionRate",99.20,98.08,98.06,98.93,99.40,97.81,98.55

Farrowing Information

"TotalFarrowings",875,1096,473,474,750,1034,4702
"LivebornLessThan7",58,70,23,36,59,66,312
"FirstLitterFarrowings",176,261,146,108,211,308,1210
"AssistedFarrowings",0,0,0,0,0,0,0
"FirstLitterAssistedFarrowings",0,0,0,0,0,0,0
"InducedFarrowings",0,0,0,0,0,0,0
"FirstLitterInducedFarrowings",0,0,0,0,0,0,0
"Totalborn",12456,15515,6341,6397,9414,14151,64274
"TotalBornPerLitter",14.24,14.16,13.41,13.50,12.55,13.69,13.67
"FirstLitterTotalborn",2327,3731,1848,1381,2597,4191,16075
"Liveborn",11627,14357,5797,5816,9000,13149,59746
"LivebornBoars",0,0,0,0,0,0,0
"LivebornGilts",0,0,0,0,0,0,0
"LivebornPerLitter",13.29,13.10,12.26,12.27,12.00,12.72,12.71
"LivebornPerSowPerYear",30.47,30.38,28.41,29.76,27.38,32.11,29.99
"LivebornPerFemalePerYear",29.80,28.10,27.39,28.63,26.09,31.09,28.67
"FirstLitterLiveborn",2227,3486,1739,1291,2522,3892,15157
"Stillborn",605,887,408,498,362,855,3615
"StillbornPerLitter",0.69,0.81,0.86,1.05,0.48,0.83,0.77
"StillbornAsPercentOfTotalBorn",4.86,5.72,6.43,7.78,3.85,6.04,5.62
"FirstLitterStillborn",72,188,79,75,68,247,729
"Mummified",224,271,136,83,52,147,913
"MummifiedPerLitter",0.26,0.25,0.29,0.18,0.07,0.14,0.19
"MummifiedAsPercentOfTotalBorn",1.80,1.75,2.14,1.30,0.55,1.04,1.42
"FirstLitterMummified",28,57,30,15,7,52,189
"SumLitterWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountLitterWeight",0,0,0,0,0,0,0
"SumFarrowingInterval",103069,119715,49807,53864,77626,107635,511716
"CntFarrowingInterval",699,835,327,366,539,726,3492
"FarrowingInterval",147.45,143.37,152.31,147.17,144.02,148.26,146.54
"SumGestationLength",101994,126774,55039,55231,87115,120053,546206
"SumCycleFarrowed",2863,3451,1437,1488,2493,2599,14331
"SumParityFarrowed",2863,3451,1429,1485,2484,2597,14309

Farrowing Rate Information

"CountFRServices125",1007,1302,586,541,922,1170,5528
"CountFRAdjServices125",970,1282,568,536,883,1153,5392
"CountFRFarrowed125",893,1146,474,459,714,975,4661
"FarrowingRate125",88.68,88.02,80.89,84.84,77.44,83.33,84.32
"AdjustedFarrowingRate125",92.06,89.39,83.45,85.63,80.86,84.56,86.44

Piglet Loss Information

"PigletLosses[0]",1085,1004,271,348,335,673,3716
"PigletLossAsPercentLiveborn[0]",9.33,6.99,4.67,5.98,3.72,5.12,6.22
"PigletLossAsPercentTotal[0]",61.96,50.07,33.92,57.71,53.51,57.37,53.41
"PigletLosses[1]",476,822,412,201,227,423,2561
"PigletLossAsPercentLiveborn[1]",4.09,5.73,7.11,3.46,2.52,3.22,4.29
"PigletLossAsPercentTotal[1]",27.18,41.00,51.56,33.33,36.26,36.06,36.81
"PigletLosses[2]",190,179,116,54,64,77,680
"PigletLossAsPercentLiveborn[2]",1.63,1.25,2.00,0.93,0.71,0.59,1.14
"PigletLossAsPercentTotal[2]",10.85,8.93,14.52,8.96,10.22,6.56,9.77
"PigletLosses[3]",1751,2005,799,603,626,1173,6957
"PigletLossAsPercentLiveborn[3]",15.06,13.97,13.78,10.37,6.96,8.92,11.64
"SumPigletAgeAtLoss",5225,5848,3290,1630,1960,3000,20953
"PigletAgeAtLoss",2.98,2.92,4.12,2.70,3.13,2.56,3.01

Weaning Information

"CompleteWeanings",901,1183,423,474,786,930,4697
"SowsWeaned",927,1183,423,483,808,949,4773
"SowsWeanedWithZero",37,34,9,12,22,17,131
"NurseSowsCreated",26,0,0,9,22,19,76
"NurseSowsWeaned",30,2,0,15,28,23,98
"LittersWeaned",890,1149,414,471,786,932,4642
"PigletAgeAtWeaning",25.22,25.23,21.77,21.91,22.04,22.77,23.59
"TotalPigletsWeaned",10562,13555,4352,5238,9083,10417,53207
"TotalPigletsWeanedBoars",0,0,0,0,0,0,0
"TotalPigletsWeanedGilts",0,0,0,0,0,0,0
"WeanedPerLitter",11.87,11.80,10.51,11.12,11.56,11.18,11.46
"TotalPigletsWeanedNoPartWeaned",10491,13555,4352,5238,9083,10417,53136
"SubStandardWeaned",0,0,0,0,0,0,0
