Rose CPS
North Carolina
01-Nov-16 (16-472)
Analysis of production performance between 16-441 and 16-468


"Farm","0300 - DN","0301 - Polly Ridge","0305 - Shellbank","0306 - Whitakers","0307 - Creekside","0309 - CAJ One","Total"

Service Information

"TotalMatings",1960,1940,1003,918,1774,2302,9897
"TotalServices",1009,1264,549,474,881,1156,5333
"ExpectedToFarrow",1001,1251,541,462,867,1136,5258
"TotalFailToFarrowServices",0,0,1,3,0,2,6
"TotalFirstServices",971,1188,480,423,837,1039,4938
"TotalRepeatServices",38,76,69,51,44,117,395
"SumRepeatInterval",1001,2191,2426,1772,1517,3194,12101
"TotalRepeatEarly",2,0,1,3,3,4,13
"TotalRepeatRegularFirst",20,40,16,20,18,64,178
"TotalRepeatIrregular",13,21,33,15,8,36,126
"TotalRepeatRegularSecond",2,9,9,6,6,5,37
"TotalRepeatLate",1,6,10,7,9,8,41
"TotalGiltFirstServices",208,210,80,20,174,286,978
"TotalGiltArrivalFirstServices",208,210,80,20,174,286,978
"TotalGiltAvailableFirstServices",0,0,0,0,0,0,0
"TotalWeanedSowFirstServices",763,978,399,400,663,751,3954
"TotalWeanedSowsFirstServedBy7Days",686,911,359,370,581,698,3605
"SumWeanTo1stServiceInterval",4051,5802,2474,2267,3944,4125,22663
"AvWeanTo1stServiceInterval",5.31,5.93,6.20,5.67,5.95,5.49,5.73
"SumArrivalTo1stServiceInterval",2003,2431,2560,1128,4482,5087,17691
"SumAvailableTo1stServiceInterval",0,0,0,0,0,0,0
"SumServiceNumber",1047,1345,634,526,926,1287,5765
"TotalAIOnlyServices",1009,1264,549,474,881,1156,5333
"TotalNaturalOnlyServices",0,0,0,0,0,0,0
"TotalMixedServices",0,0,0,0,0,0,0
"TotalSoloBoarSemenServices",1005,873,388,200,878,497,3841
"TotalMultipleMatingServices",943,645,540,446,881,1145,4600
"PercentMultipleMatingServices",93.46,51.03,98.36,94.09,100.00,99.05,86.26
"PercentWeanedSowsFirstServedBy7Days",89.91,93.15,89.97,92.50,87.63,92.94,91.17
"AvServiceNumber",1.04,1.06,1.15,1.11,1.05,1.11,1.08
"PercentRepeatServices",3.77,6.01,12.57,10.76,4.99,10.12,7.41
"AvMatingsPerService",1.94,1.53,1.83,1.94,2.01,1.99,1.86
"ConceptionRate",99.21,98.97,98.54,97.47,98.41,98.27,98.59

Farrowing Information

"TotalFarrowings",939,1153,429,479,844,989,4833
"LivebornLessThan7",38,45,23,34,24,74,238
"FirstLitterFarrowings",220,216,122,113,209,256,1136
"AssistedFarrowings",0,0,0,0,0,0,0
"FirstLitterAssistedFarrowings",0,0,0,0,0,0,0
"InducedFarrowings",0,0,0,0,0,0,0
"FirstLitterInducedFarrowings",0,0,0,0,0,0,0
"Totalborn",13846,16869,5623,6502,11341,13683,67864
"TotalBornPerLitter",14.75,14.63,13.11,13.57,13.44,13.84,14.04
"FirstLitterTotalborn",3062,3086,1584,1488,2787,3427,15434
"Liveborn",12928,15499,5157,5894,10784,12497,62759
"LivebornBoars",0,0,0,0,0,0,0
"LivebornGilts",0,0,0,0,0,0,0
"LivebornPerLitter",13.77,13.44,12.02,12.30,12.78,12.64,12.99
"LivebornPerSowPerYear",33.97,33.41,25.76,30.13,33.01,30.05,31.65
"LivebornPerFemalePerYear",33.20,31.92,24.54,29.28,30.90,28.93,30.36
"FirstLitterLiveborn",2889,2897,1474,1396,2677,3161,14494
"Stillborn",601,1021,376,502,493,1010,4003
"StillbornPerLitter",0.64,0.89,0.88,1.05,0.58,1.02,0.83
"StillbornAsPercentOfTotalBorn",4.34,6.05,6.69,7.72,4.35,7.38,5.90
"FirstLitterStillborn",98,147,80,67,94,207,693
"Mummified",317,349,90,106,64,176,1102
"MummifiedPerLitter",0.34,0.30,0.21,0.22,0.08,0.18,0.23
"MummifiedAsPercentOfTotalBorn",2.29,2.07,1.60,1.63,0.56,1.29,1.62
"FirstLitterMummified",75,42,30,25,16,59,247
"SumLitterWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountLitterWeight",0,0,0,0,0,0,0
"SumFarrowingInterval",105796,133560,47477,53660,91484,107198,539175
"CntFarrowingInterval",719,937,307,366,635,733,3697
"FarrowingInterval",147.14,142.54,154.65,146.61,144.07,146.25,145.84
"SumGestationLength",109255,133560,49956,55837,98103,115006,561717
"SumCycleFarrowed",2735,3821,1435,1638,2891,2558,15078
"SumParityFarrowed",2735,3820,1421,1636,2863,2557,15032

Farrowing Rate Information

"CountFRServices125",1024,1279,551,543,1047,1152,5596
"CountFRAdjServices125",994,1254,535,527,1020,1133,5463
"CountFRFarrowed125",925,1126,445,483,884,1029,4892
"FarrowingRate125",90.33,88.04,80.76,88.95,84.43,89.32,87.42
"AdjustedFarrowingRate125",93.06,89.79,83.18,91.65,86.67,90.82,89.55

Piglet Loss Information

"PigletLosses[0]",1072,1347,221,366,551,767,4324
"PigletLossAsPercentLiveborn[0]",8.29,8.69,4.29,6.21,5.11,6.14,6.89
"PigletLossAsPercentTotal[0]",63.32,55.36,30.15,53.59,53.81,48.61,53.09
"PigletLosses[1]",420,873,402,246,378,612,2931
"PigletLossAsPercentLiveborn[1]",3.25,5.63,7.80,4.17,3.51,4.90,4.67
"PigletLossAsPercentTotal[1]",24.81,35.88,54.84,36.02,36.91,38.78,35.99
"PigletLosses[2]",201,213,110,71,95,199,889
"PigletLossAsPercentLiveborn[2]",1.55,1.37,2.13,1.20,0.88,1.59,1.42
"PigletLossAsPercentTotal[2]",11.87,8.75,15.01,10.40,9.28,12.61,10.92
"PigletLosses[3]",1693,2433,733,683,1024,1578,8144
"PigletLossAsPercentLiveborn[3]",13.10,15.70,14.21,11.59,9.50,12.63,12.98
"SumPigletAgeAtLoss",5098,6618,3179,1956,2807,5220,24878
"PigletAgeAtLoss",3.01,2.72,4.34,2.86,2.74,3.31,3.05

Weaning Information

"CompleteWeanings",896,1054,422,448,796,977,4593
"SowsWeaned",932,1063,430,474,839,1015,4753
"SowsWeanedWithZero",38,28,9,21,39,30,165
"NurseSowsCreated",36,9,8,26,43,38,160
"NurseSowsWeaned",41,12,8,26,40,31,158
"LittersWeaned",894,1035,421,453,800,985,4588
"PigletAgeAtWeaning",23.09,24.63,21.13,20.83,20.06,20.87,22.06
"TotalPigletsWeaned",10379,11796,4334,4863,9218,10555,51145
"TotalPigletsWeanedBoars",0,0,0,0,0,0,0
"TotalPigletsWeanedGilts",0,0,0,0,0,0,0
"WeanedPerLitter",11.61,11.40,10.29,10.74,11.52,10.72,11.15
"TotalPigletsWeanedNoPartWeaned",10379,11796,4334,4863,9218,10555,51145
"SubStandardWeaned",0,0,0,0,0,0,0
