Rose CPS
Oklahoma Farms
30-Nov-16 (16-501)
Analysis of production performance between 16-469 and 16-496


"Farm","0801 - RR Sow 1","0802 - RR Sow 2","0803 - RR Sow 3","0804 - RR Sow 4","0903 - TE 3","0904 - Huffman Farm","0906 - TE 1 W","0907 - TE 1 E","0908 - TE 2 W","0909 - TE 2 E","Total"

Service Information

"TotalMatings",1078,965,1044,0,2205,1186,2071,2128,2034,2050,14761
"TotalServices",539,509,524,0,1116,605,1040,1076,1022,1067,7498
"ExpectedToFarrow",532,494,509,0,1100,595,1011,1055,1011,1044,7351
"TotalFailToFarrowServices",2,0,0,0,0,1,0,3,0,0,6
"TotalFirstServices",458,439,489,0,1037,523,954,1028,999,981,6908
"TotalRepeatServices",81,70,35,0,79,82,86,48,23,86,590
"SumRepeatInterval",3869,2409,1011,0,2189,2451,2267,1174,677,2549,18596
"TotalRepeatEarly",3,5,1,0,5,8,2,2,2,8,36
"TotalRepeatRegularFirst",24,30,19,0,39,36,51,37,11,40,287
"TotalRepeatIrregular",18,15,6,0,23,14,26,5,4,15,126
"TotalRepeatRegularSecond",6,6,5,0,6,13,4,0,5,15,60
"TotalRepeatLate",30,14,4,0,6,11,3,4,1,8,81
"TotalGiltFirstServices",0,438,489,0,231,104,219,259,224,228,2192
"TotalGiltArrivalFirstServices",0,438,489,0,231,104,219,259,224,228,2192
"TotalGiltAvailableFirstServices",0,0,0,0,0,0,0,0,0,0,0
"TotalWeanedSowFirstServices",456,1,0,0,806,418,735,766,775,753,4710
"TotalWeanedSowsFirstServedBy7Days",419,1,0,0,780,380,707,708,734,693,4422
"SumWeanTo1stServiceInterval",2429,1,0,0,3614,2421,3558,4163,4003,4218,24407
"AvWeanTo1stServiceInterval",5.33,1.00,0.00,0.00,4.48,5.79,4.84,5.43,5.17,5.60,5.18
"SumArrivalTo1stServiceInterval",0,7115,11520,0,8786,5017,2035,2923,2558,2484,42438
"SumAvailableTo1stServiceInterval",0,0,0,0,0,0,0,0,0,0,0
"SumServiceNumber",629,580,563,0,1207,692,1126,1124,1046,1155,8122
"TotalAIOnlyServices",539,509,524,0,1116,605,1040,1076,1022,1067,7498
"TotalNaturalOnlyServices",0,0,0,0,0,0,0,0,0,0,0
"TotalMixedServices",0,0,0,0,0,0,0,0,0,0,0
"TotalSoloBoarSemenServices",427,321,267,0,710,409,320,562,999,476,4491
"TotalMultipleMatingServices",536,466,514,0,1095,576,1021,1010,1007,986,7211
"PercentMultipleMatingServices",99.44,91.55,98.09,,98.12,95.21,98.17,93.87,98.53,92.41,96.17
"PercentWeanedSowsFirstServedBy7Days",91.89,100.00,,,96.77,90.91,96.19,92.43,94.71,92.03,93.89
"AvServiceNumber",1.17,1.14,1.07,,1.08,1.14,1.08,1.04,1.02,1.08,1.08
"PercentRepeatServices",15.03,13.75,6.68,,7.08,13.55,8.27,4.46,2.25,8.06,7.87
"AvMatingsPerService",2.00,1.90,1.99,,1.98,1.96,1.99,1.98,1.99,1.92,1.97
"ConceptionRate",98.70,97.05,97.14,,98.57,98.35,97.21,98.05,98.92,97.84,98.04

Farrowing Information

"TotalFarrowings",437,431,0,0,824,481,850,893,855,892,5663
"LivebornLessThan7",25,25,0,0,61,27,53,63,45,57,356
"FirstLitterFarrowings",4,431,0,0,6,148,7,8,5,13,622
"AssistedFarrowings",0,0,0,0,0,0,0,0,0,0,0
"FirstLitterAssistedFarrowings",0,0,0,0,0,0,0,0,0,0,0
"InducedFarrowings",0,0,0,0,0,0,0,0,0,0,0
"FirstLitterInducedFarrowings",0,0,0,0,0,0,0,0,0,0,0
"Totalborn",5754,6184,0,0,10957,6370,11452,12237,11235,11989,76178
"TotalBornPerLitter",13.17,14.35,,,13.30,13.24,13.47,13.70,13.14,13.44,13.45
"FirstLitterTotalborn",51,6184,0,0,63,1873,93,108,63,156,8591
"Liveborn",5314,5702,0,0,10017,5993,10242,10888,10274,11057,69487
"LivebornBoars",0,0,0,0,0,0,0,0,0,0,0
"LivebornGilts",0,0,0,0,0,0,0,0,0,0,0
"LivebornPerLitter",12.16,13.23,,,12.16,12.46,12.05,12.19,12.02,12.40,12.27
"LivebornPerSowPerYear",27.54,31.84,0.00,,25.81,28.98,28.81,29.95,28.34,29.21,27.36
"LivebornPerFemalePerYear",27.54,27.11,0.00,0.00,24.35,26.83,28.21,28.88,27.70,28.53,25.19
"FirstLitterLiveborn",49,5702,0,0,62,1771,89,97,58,147,7975
"Stillborn",346,383,0,0,800,310,1112,1180,804,739,5674
"StillbornPerLitter",0.79,0.89,,,0.97,0.64,1.31,1.32,0.94,0.83,1.00
"StillbornAsPercentOfTotalBorn",6.01,6.19,,,7.30,4.87,9.71,9.64,7.16,6.16,7.45
"FirstLitterStillborn",0,383,0,0,1,77,2,9,4,7,483
"Mummified",94,99,0,0,140,67,98,169,157,193,1017
"MummifiedPerLitter",0.22,0.23,,,0.17,0.14,0.12,0.19,0.18,0.22,0.18
"MummifiedAsPercentOfTotalBorn",1.63,1.60,,,1.28,1.05,0.86,1.38,1.40,1.61,1.34
"FirstLitterMummified",2,99,0,0,0,25,2,2,1,2,133
"SumLitterWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountLitterWeight",0,0,0,0,0,0,0,0,0,0,0
"SumFarrowingInterval",64428,0,0,0,123811,48043,124980,130208,125530,130293,747293
"CntFarrowingInterval",433,0,0,0,818,333,843,885,850,879,5041
"FarrowingInterval",148.79,,,,151.36,144.27,148.26,147.13,147.68,148.23,148.24
"SumGestationLength",50788,49893,0,0,96383,55902,99001,104230,99875,104242,660314
"SumCycleFarrowed",1984,431,0,0,4047,1332,4056,4609,4055,4304,24818
"SumParityFarrowed",1974,431,0,0,4028,1332,4039,4583,4055,4301,24743

Farrowing Rate Information

"CountFRServices125",564,340,0,0,1015,598,1037,1037,1022,1069,6682
"CountFRAdjServices125",559,330,0,0,999,586,1018,1017,1016,1051,6576
"CountFRFarrowed125",471,273,0,0,852,496,877,854,875,897,5595
"FarrowingRate125",83.51,80.29,,,83.94,82.94,84.57,82.35,85.62,83.91,83.73
"AdjustedFarrowingRate125",84.26,82.73,,,85.29,84.64,86.15,83.97,86.12,85.35,85.08

Piglet Loss Information

"PigletLosses[0]",226,354,0,0,647,320,794,1162,709,950,5162
"PigletLossAsPercentLiveborn[0]",4.25,6.21,,,6.46,5.34,7.75,10.67,6.90,8.59,7.43
"PigletLossAsPercentTotal[0]",40.07,52.99,,,40.11,46.44,49.23,58.25,46.28,50.37,48.88
"PigletLosses[1]",278,261,0,0,699,262,584,577,539,605,3805
