502-->insert into pichinchahumana_extension.lpin_crucecuentas (crucue_cuenta,crucue_persona,crucue_valorpago,crudoc_enlace,crucue_fecharegistro,usua_id) values ('2.1.10','748','4','01669E73D8F14AE50220240722095936337','2024-07-22 10:00:30','502')-->2024-07-22 10:00:30
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='01661951326F49B45820240412102018246' and crucue_id=1088-->2024-07-22 10:19:16
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='016619529304FE445820240412102611185' and crucue_id=1090-->2024-07-22 10:20:25
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='01661952DF9714345820240412102727378' and crucue_id=1091-->2024-07-22 10:21:08
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='0166194F317F9A745820240412101145230' and crucue_id=1087-->2024-07-22 10:23:47
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='01661953B82A80C45820240412103104219' and crucue_id=1092-->2024-07-22 10:24:11
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='016619566AC85684582024041210423471' and crucue_id=1096-->2024-07-22 10:25:02
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='01661956B3CE27745820240412104347265' and crucue_id=1097-->2024-07-22 10:29:38
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='01649DA1694E6CD19720230629102113443' and crucue_id=1029-->2024-07-22 10:30:28
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='016629105409DA61972024042408594891' and crucue_id=1146-->2024-07-22 10:33:09
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='0166291082027D619720240424090034199' and crucue_id=1147-->2024-07-22 10:35:14
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='01662910F195C0819720240424090225157' and crucue_id=1148-->2024-07-22 10:36:30
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='0166291166ED00919720240424090422180' and crucue_id=1149-->2024-07-22 10:37:06
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='01662911A1AB52A19720240424090521334' and crucue_id=1150-->2024-07-22 10:37:40
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='01662912A6308C519720240424090942390' and crucue_id=1151-->2024-07-22 10:39:21
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='01662912D4A61DD19720240424091028482' and crucue_id=1152-->2024-07-22 10:39:51
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='016629137570F331972024042409130933' and crucue_id=1153-->2024-07-22 10:40:09
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='01662914E1A753019720240424091913129' and crucue_id=1154-->2024-07-22 10:40:25
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='01662915E3BA55D19720240424092331423' and crucue_id=1155-->2024-07-22 10:40:48
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='016629804D7B9C11972024042404573381' and crucue_id=1158-->2024-07-22 10:41:08
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='01661954678547545820240412103359202' and crucue_id=1093-->2024-07-22 10:49:31
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='016619556B40C0645820240412103819428' and crucue_id=1095-->2024-07-22 10:49:55
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='01649DB39E2FB1119720230629113854459' and crucue_id=1104-->2024-07-22 15:28:22
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='01649DB5049709419720230629114452172' and crucue_id=115-->2024-07-22 16:43:33
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='01649DB5049709419720230629114452172' and crucue_id=114-->2024-07-22 16:44:58
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='01649DB5049709419720230629114452172' and crucue_id=113-->2024-07-22 16:46:20
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='0164B0233DD416627820230713111557415' and crucue_id=648-->2024-07-22 17:24:23
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='0164B008890E27327820230713092201190' and crucue_id=620-->2024-07-22 17:29:19
502-->delete from pichinchahumana_extension.lpin_crucecuentas where crudoc_enlace='0164B00836ED7DA27820230713092038250' and crucue_id=619-->2024-07-22 17:30:50
